RecipeItem/0/_ItemName,RecipeItem/1/_ItemName,RecipeItem/2/_ItemName,RecipeItem/3/_ItemName,RecipeItem/4/_ItemName,RecipeItem/5/_ItemName,RecipeItem/6/_ItemName,RecipeItem/7/_ItemName,RecipeItem/8/_ItemName,RecipeItem/9/_ItemName,RecipeItem/9/_itemQuantityText,memo/__cdata,_createDate,_description,_modifyDate,_nutrientRefNum,_primaryKey,_recordType,_useStaticIngrStmt,_userCode,_version,RecipeItem/10/_ItemName,RecipeItem/11/_ItemName,RecipeItem/12/_ItemName,RecipeItem/12/_itemQuantityText,RecipeItem/13/_ItemName,RecipeItem/14/_ItemName,RecipeItem/15/_ItemName,RecipeItem/15/_itemQuantityText,RecipeItem/16/_ItemName,RecipeItem/16/_itemQuantityText,RecipeItem/17/_ItemName,RecipeItem/18/_ItemName,RecipeItem/19/_ItemName,RecipeItem/20/_ItemName
STEP 2: Mix cornstarch and water together in a small bowl. Slowly stir into vegetables. Sauce should start to thicken a little. Mix in cubed chicken, and heat through.



Serve over cooked white rice or crisp noodles.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Ruth A. Dawson",7/15/05,"Dish, chicken chow mein, Chinese",8/29/05,264832592,264832592,insert,FALSE,,2.2.0,Water,Chicken Broil/Fry Breast w/Skin-Rstd,,,,,,,,,,,,

Chicken Broil/Fry Breast w/oSkin-Rstd,Table Salt,Black Pepper,Swiss Cheese-Slc,"11% Fat Ham Lunchmeat Slc-6.25""x4""x1/16""",Seasoned Bread Crumbs-Dry Grated,,,,,,"PREP TIME: 10 Min

COOK TIME: 35 Min

YIELDS: 4 Servings



NOTE: Try to use the largest chicken breasts you can find so you'll be able to roll them easier.



METHOD:



STEP 1: Preheat oven to 350 degrees F (175 degrees C). Coat a 7x11 inch baking dish with nonstick cooking spray.



STEP 2: Pound chicken breasts to 1/4 inch thickness.



STEP 3: Sprinkle each piece of chicken on both sides with salt and pepper. Place 1 cheese slice and 1 ham slice on top of each breast. Roll up each breast, and secure with a toothpick. Place in baking dish, and sprinkle chicken evenly with bread crumbs.



STEP 4: Bake for 30 to 35 minutes, or until chicken is no longer pink. Remove from oven, and place 1/2 cheese slice on top of each breast. Return to oven for 3 to 5 minutes, or until cheese has melted. Remove toothpicks, and serve immediately.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Kiersten",7/15/05,"Dish, chicken cordon bleu, French",7/18/05,48611538,48611538,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Chicken Broil/Fry Whole w/Skin-Stwd,Garlic Powder,Olive Salad/Cooking Oil,White Onion Cooked Drained Whole-Med,Chicken Broth-rts Can CAM-HR,Cmrcl Cream Of Chicken Soup Cond-Cnd,"Peeled Potato Cooked-2.25"" to 3.25""",Curry Powder,Table Salt,Black Pepper,,"YIELDS: 5 - 6 Servings



NOTE: 6 Servings used for nutritional anaylsis



METHOD:



STEP 1: Cut chicken into pieces and rub with 1 tbsp garam masala and garlic powder. In large saute pan, over medium heat, brown chicken in olive oil.



STEP 2: Remove chicken and saute chopped onions in the same oil, until golden. Return the chicken to the pan and cover with the broth. Simmer until meat is tender and can be easily picked off of the bone. Remove the chicken to cool.



STEP 3: Mix the soup into the broth in the pan, then add the cubed potatoes and the curry. Simmer until tender. As soon as the chicken is cool enough to handle, remove the meat from the skin and bones and, if necessary, cut into bite size pieces. When the potatoes are done, add the meat to the potato mixture and heat through. You may add golden raisins at this point if desired, adjust seasonings and serve!



Serve over jasmine rice for best flavor.



Copyright @ 2005

www.allrecies.com



Recipe submitted by Teresa Smith





",7/15/05,"Dish, chicken curry, Asian",3/8/06,356484490,356484490,insert,FALSE,,2.2.0,Golden Seedless Raisins DLM-SW,,,,,,,,,,,,,

Chicken Broil/Fry Breast w/oSkin-Rstd,White Granulated Sugar,Natural Rice Vinegar NAK,Tamari Soy Sauce,Chicken Broth-rts Can,Municipal Tap Water,Sesame Salad/Cooking Oil,Black Pepper,Corn Starch,Enrich Spaghetti Pasta-Ckd,,"PREP TIME: 45 Min

COOK TIME: 30 Min

YIELDS: 4 Servings



METHOD:



STEP 1: In a medium, non-reactive bowl, combine the chicken with 2 1/2 teaspoons of the white sugar, 1 1/2 tablespoons vinegar and 1/4 cup soy sauce. Mix this together and coat the chicken well. Cover and let marinate in the refrigerator for at least 1 hour.



STEP 2: In another medium bowl, combine the chicken broth, water, sesame oil and ground black pepper with the remaining sugar, vinegar and soy sauce. In a separate small bowl, dissolve the cornstarch with some of this mixture and slowly add to the bulk of the mixture, stirring well. Set aside.



STEP 3: Cook the linguine pasta according to package directions, drain and set aside. Heat 1 tablespoon of the oil in a wok or large saucepan over high heat until it starts to smoke. Add the chicken and stir-fry for 4 to 5 minutes, or until browned. Transfer this and all juices to a warm plate.



STEP 4: Heat the remaining oil in the wok or pan over high heat. Add the ginger, garlic, mushrooms and sliced green onions, and stir-fry for 30 seconds. Add the reserved sauce mixture and then the chicken. Simmer until the sauce begins to thicken, about 2 minutes. Add the reserved noodles and toss gently, coating everything well with the sauce.



Garnish with chopped fresh cilantro.



NOTE: The nutrition data for this recipe includes information for the full amount of the marinade ingredients. Depending on marinating time, ingredients, cooking method, etc., the actual amount of the marinade consumed will vary.



Copyright @ 2005

www.allrecipes. com



Recipe submitted by: Michelle",7/15/05,"Dish, chicken lo mein, Chinese",2/3/09,87435040,87435040,insert,FALSE,,2.2.0,Canola Oil,Fresh Ginger Root,Fresh Garlic Cloves,,Shiitake Mushrooms Pieces-Ckd,Fresh Green Onions Bulb & Tops-Lrg,,,,,,,,

Ale Malt Vinegar-Tbsp DLM-SI,Plain Whole Milk Yogurt w/8gProt-8ozCntr,Canola Oil,Table Salt,Black Pepper,Ground Cardamom,Chicken Broil/Fry Thigh w/oSkin-Rstd,Tahini f/Raw & Stone Ground Kernels,Plain Whole Milk Yogurt w/8gProt-8ozCntr,Fresh Garlic Cloves,,"PREP TIME: 10 Min

COOK TIME: 40 Min

YIELDS: 8 Servings



METHOD:



STEP 1: In a glass dish, mix together the malt vinegar, 1/4 cup yogurt, oil, 1 tsp mixed spice, cardamom, salt and pepper. Place the chicken thighs into the mixture and turn to coat. Cover and marinate in the refrigerator for at least 4 hours or overnight.



STEP 2: Preheat the oven to 350 degrees F (175 degrees C). In a small bowl, mix together the tahini, 1/4 cup yogurt, garlic, lemon juice, oilve oil, and parsley. Season with salt and pepper, taste, and adjust flavors if desired. Cover and refrigerate.



STEP 3: Cover the chicken and bake in the marinade for 30 minutes, turning once. Uncover, and cook for an additional 5 to 10 minutes, or until chicken is browned and cooked through. Remove from the dish, and cut into slices.



STEP 4: Place sliced chicken, tomato, onion, and lettuce onto pita breads. Roll up, and top with the tahini sauce.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Wendy",7/18/05,"Sandwich, chicken schwarma, Lebanese",2/3/09,559214859,559214859,insert,FALSE,,2.2.0,Fresh Lemon Juice,Olive Salad/Cooking Oil,Fresh Parsley-Chpd,,Table Salt,Black Pepper,"Fresh Red Tomatoes YearRndAvg Med-2 3/5""",,Fresh Sliced White Onions,,Fresh Green Leaf Lettuce-Shredded,"Unenrich White Pita Bread-6 1/2""",,

Hoisin Sauce-rts,"Cranberry Sauce Swtnd Cnd-1/2"" Slc",LowSodium Soy Sauce f/Wheat & Soy,Medium White Wine-5 fl oz Svg,Honey,Garlic Salt MCC,Chinese Five Spice-Pwd INTL,Pork Spareribs-Brsd,,,,"PREP TIME: 1 Hr 20 Min

COOK TIME: 1 Hr

YIELDS: 6 Servings



METHOD:



STEP 1: In a large bowl, blend hoisin sauce, cranberry sauce, soy sauce, white wine, honey, and 1/2 tsp red food coloring. Mix in garlic salt and Chinese five-spice powder. Place 4 lb raw  ribs in the mixture. Cover and marinate in the refrigerator at least 1 hour.



STEP 2: Preheat oven to 350 degrees F (175 degrees C).



STEP 3: Place 2 cups water in bottom of a large roasting pan. Arrange ribs on pan rack, and cook 30 minutes in the preheated oven. Cover with remaining sauce mixture, and continue cooking 30 minutes, to an internal temperature of 160 degrees F (70 degrees C).



NOTE: Hoisin sauce, also called Peking sauce, is a thick, reddish-brown sauce that is sweet and spicy, and widely used in Chinese cooking. It's a mixture of soybeans, garlic, chile peppers and various spices. It can be found in Asian markets and many large supermarkets. Look in the Asian or ethnic section. If this item is not in stock at your local store, ask your grocer to special order it for you. Most grocers will be happy to do this for their customers.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Sandi",7/18/05,"Pork, barbecued spareribs, Chinese",2/3/09,379608964,379608964,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Household Shortening,Pork Whole Loin-Rstd,White Onions Chopped Cooked-Drnd,Chopped Celery-Steamed,Water,Table Salt,Black Pepper,Bean Sprouts Canned-Svg CON-HL,Water,Corn Starch,,"PREP TIME: 25 Min

COOK TIME: 20 Min

YIELDS: 4 Servings



METHOD:



STEP 1: Heat shortening in a large, deep skillet. Sear diced pork until it turns white, then add onion and saute for 5 minutes. Add celery, hot water, salt and pepper. Cover skillet and simmer for 5 minutes. Add drained, rinsed bean sprouts and heat to boiling.



STEP 2: In a small bowl combine the cold water, cornstarch, soy sauce and sugar. Mix together and add to skillet mixture. Cook for 5 minutes, or until thickened to taste.



Serve over hot rice, topped with chow mein noodles and soy sauce, if desired.



NOTE: You can substitute a can of Chinese mixed vegetables for the bean sprouts if you like more color and texture.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Deb Koskovich",7/18/05,"Dish, chop suey, pork, Chinese",8/29/05,198605238,198605238,insert,FALSE,,2.2.0,Soy Sauce-f/Soy,White Granulated Sugar,,,,,,,,,,,,

Salted Butter,White Onion Cooked Drained Whole-Med,Fresh Garlic Cloves,Fresh Parsley-Chpd,Stewed Tomatoes w/Liquid-Cnd,Chicken Broth-rts Can CAM-HR,Ground Basil,Ground Thyme,Oregano-Ground,Water,,"PREP TIME: 10 Min

COOK TIME: 45 Min

YIELDS: 12 - 14 Servings



NOTE: 14 Servings used for nutritional analysis.



METHOD:



STEP 1: Over medium-low heat, melt butter in a large stockpot, add chopped onions, minced garlic, and chopped parsley. Cook slowly, stirring occasionally until onions are soft.



STEP 2: Add tomatoes to the pot (break them into chunks as you add them). Add chicken broth, 2 bay leaves, basil, thyme, oregano, water and wine. Mix well. Cover and simer 30 minutes.



STEP 3: Stir in 1 1/2 lb raw, peeled and deveined shrimp, 1 1/2 lb raw scallops, clams, cleaned and debearded mussels, and crabmeat. Stir in 1 1/2 lb raw cubed fish, if desired. Bring to boil. Lower heat, cover and simmer 5 to 7 minutes until clams open. Ladle soup into bowls and serve with warm, crusty bread!



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Star Pooley",7/18/05,"Stew, seafood cioppino, Italian",3/7/06,752289812,752289812,insert,FALSE,,2.2.0,Medium White Wine,Mixed Species Shrimp Large-Stmd,Steamed Scallops,,Mixed Species Clams Small-Stmd,Fresh Blue Mussels-Med,Blue Crab Flaked Pieces-Stmd,,Cod Fish-Steamed/Poached SVY,,,,,

Olive Salad/Cooking Oil,Leeks Cooked-Drnd,Whole Carrots Cooked-Drnd,Zucchini Squash Slices w/Skin Ckd-Drnd,Green Snap Beans Ckd-Drained,Celery Stalk Cooked-Drnd,Vegetable Broth-Cnd CAM-SW,Fresh Red Tomatoes YearRoundAvg-Chpd/Slc,Fresh Thyme,Cannellini Beans-Cnd GML-PR,,"PREP TIME: 15 Min

COOK TIME: 1 Hr

YIELDS: 4 Servings



NOTE: Try to make the minestrone a day early and refrigerate as this improves the flavors.



METHOD:



STEP 1: Heat olive oil in a large saucepan, over medium heat. Add sliced leek, chopped carrots, one thinly sliced zucchini, green beans cut into 1 inch pieces, and celery. Cover, and reduce heat to low. Cook for 15 minutes, shaking the pan occasionally.

 

STEP 2: Stir in the stock, chopped tomatoes, and chopped thyme. Bring to a boil, then replace the lid, and reduce heat to low; simmer gently for 30 minutes.



STEP 3: Stir in the cannellini beans with liquid and pasta. Simmer for an additional 10 minutes, or until pasta is al dente. Season with salt and pepper to taste before serving.



Serve with parmesan cheese and chopped fresh parsley.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Michelle Chen",7/18/05,"Soup, minestrone, Italian",2/3/09,350107526,350107526,insert,FALSE,,2.2.0,Semolina Elbow Macaroni Pasta-Dry APC-GG,Table Salt,Black Pepper,,,,,,,,,,,

Enrich All Purpose Bleached White Flour,3.25% Whole Milk,Whole Eggs Raw-Lrg,Table Salt,Beef Drippings,,,,,,,"PREP TIME: 1 Hr

COOK TIME: 35 Min

YIELDS: 8 Servings



NOTE: Not a pudding, but a puffed pastry baked with meat drippings. Yorkshire pudding is softer and doesn't rise as high as a popover. Traditionally served with roast beef.



METHOD: 



STEP 1: In a large bowl, mix together the flour, milk, eggs and salt. Using an electric mixer, beat 5 minutes, until smooth. Cover and refrigerate 1 hour.



STEP 2: Preheat oven to 425 degrees F (200 degrees C). Coat a 9x13 inch baking pan with beef or bacon drippings. Preheat the pan 15 minutes so the drippings are hot and sizzling.



STEP 3: Remove the mixture from the refrigerator. Beat briefly, then scoop into the baking pan. Bake 20 minutes.



STEP 4: Lower oven temperature to 375 degrees F (190 degrees C). Without opening the oven, continue baking 15 minutes. The mixture should be puffed and golden brown. Remove from oven and serve hot.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Karen Cooke

",7/19/05,"Dish, yorkshire pudding, British",7/21/05,9546005,9546005,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Olive Salad/Cooking Oil,White Onions Chopped Cooked-Drnd,Fresh Sweet Green Bell Pepper-Med,Fresh Garlic Cloves,Table Salt,Tomato Paste-6oz Can,Mature Red Kidney Beans-Cnd,Enrich Long Grain White Rice-Ckd,,,,"PREP TIME: 10 Min

COOK TIME: 50 Min

YIELDS: 6 Servings



METHOD:



STEP 1: Heat oil in a large saucepan over medium heat. Saute chopped onion, chopped bell pepper, and minced garlic. When onion is translucent add salt and tomato paste. Reduce heat to low and cook 2 minutes. Stir in beans and rice.



STEP 2: Pour liquid from the beans into a large measuring cup and add enough water to reach a volume of 2 1/2 cups; pour into beans. Cover and cook on low for 45 to 50 minutes, or until liquid is absorbed and rice is cooked.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Chris Barila

",7/19/05,"Dish, bean & rice, Cuban",8/29/05,86768700,86768700,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Mature Black Beans-Ckd,White Onion Cooked Drained Whole-Med,Fresh Sweet Red Bell Peppers-Med,Fresh Sweet Green Bell Pepper-Med,Ground Paprika AST,Ground Cumin Seed AST,Oregano-Ground,Fresh Whole Hot Green Chile Peppers,Fresh Garlic Cloves,Balsamic Vinegar HCG-HF,,"PREP TIME: 20 Min

COOK TIME: 1 Hr 30 Min

YIELDS: 6 Servings



METHOD:



STEP 1: Wash beans. In a large bowl, soak beans in water to cover overnight.



STEP 2: Rinse beans, and transfer to a large stock pot. Add chopped onion, chopped peppers, 2 bay leaves, paprika, cumin, oregano, and minced chile peppers, along with water to cover. Bring to a boil, reduce heat, and simmer for 1 1/2 hours.



STEP 3: Test beans for tenderness, and when tender add minced garlic and balsamic vinegar. Salt and pepper to taste.



Serve these flavorful beans over rice, as a sauce for pasta or with a good loaf of bread.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Dick",7/19/05,"Bean, black, Cuban",3/8/06,38752758,38752758,insert,FALSE,,2.2.0,Table Salt,Black Pepper,,,,,,,,,,,,

Mayonnaise w/Soybean Oil,Italian Dressing UNI-CO,Classic Deli Soft Hoagie Rolls CAM-PF,Yellow Mustard-Prep,Deli OvenRstd TurkyBrst Lunchmeat CON-HC,Deli Honey Ham Lunchmeat-Slc CON-HC,Swiss Cheese-Slc,Dill Pickles Slices,Olive Salad/Cooking Oil,,,"PREP TIME: 20 Min

COOK TIME: 5 Min

YIELDS: 4 Servings



NOTE: Makes a wonderful dinner sandwich because it is served hot. A nice side dish is black bean soup or black beans and rice, and plantain chips.



METHOD:



STEP 1: Split hoagie rolls lengthwise. In a small bowl, mix together mayonnaise and Italian dressing. Spread mixture on hoagie rolls. Spread each roll with mustard. On each roll arrange layers of turkey, ham, and cheese. Top each with dill pickle slices. Close sandwiches, and brush tops and bottoms with olive oil.



STEP 2: Heat a non-stick skillet over medium-high heat. Place sandwiches in skillet. Cook sandwiches for 2 minutes, pressing down with a plate covered with aluminum foil. Flip, and cook for 2 more minutes, or until cheese is melted. Remove from heat, place on plates, and cut in half diagonally.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Maruchy Ramos-Lachance",7/19/05,"Sandwich, midnight medianoche, Cuban",7/21/05,161921316,161921316,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Olive Salad/Cooking Oil,White Onion Cooked Drained Whole-Med,Enrich Long Grain White Rice-Ckd,Fresh Lemon Juice-Yield Per Fruit,Fresh Dill Weed Sprigs,Fresh Parsley-Chpd,Dried Pignolia Pine Nuts,Grape Leaves-Cnd,,,,"PREP TIME: 45 Min

COOK TIME: 45 Min

YIELDS: 6 - 8 Servings



NOTE: 8 Servings used for nutritional analysis.



METHOD:



STEP 1: Preheat oven to 375 degrees F (190 degrees C).

 

STEP 2: Heat 2 tablespoons oil in a large saucepan over medium heat. Saute onions until tender. Stir in rice and brown slightly. Add 3 1/2 cups water, and half of the lemon juice from the juiced lemons. Reduce heat, cover and simmer for 20 minutes, or until all liquid is absorbed and rice is tender. Stir in  chopped dill and parsley and pine nuts.



STEP 3: Remove stems from grape leaves and place 1 tablespoon of rice mixture in the center. Fold in the sides and roll tightly. Place, folded side down, in a baking dish and cover with remaining olive oil, lemon juice and enough water to cover 1/2 of the dolmathas.



STEP 4: Cover with aluminum foil and bake in preheated oven for 45 minutes.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Cindy",7/19/05,"Dish, dolmathes, Greek",3/8/06,72624188,72624188,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Canola Oil,Chicken Broil/Fry Whole w/Skin-Stwd,Table Salt,Black Pepper,Garlic Powder,Red Wine,Chicken Stock-Prep f/Recipe,White Onion Cooked Drained Whole-Med,Corn Starch,Water,,"PREP TIME: 10 Min

COOK TIME: 35 Min

YIELDS: 8 Servings



METHOD: 



STEP 1: Cut chicken into pieces. Heat oil in a large skillet over medium high heat. Season chicken parts with salt, pepper, and garlic powder and saute until lightly browned, about 5 to 7 minutes.



STEP 2: Place wine in a shallow dish or bowl. Dip chicken pieces into wine, one at at time, and return to skillet. Add any remaining wine, stock and onions, stir together and reduce heat to medium.



STEP 3: Cover skillet and cook for 30 minutes or until chicken is cooked through and no longer pink inside. In a small bowl, mix together cornstarch and water and add mixture to sauce to thicken; cook an additional 2 to 3 minutes and serve.



Serve with pasta or white steamed rice, if desired.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Marlise



",7/19/05,"Dish, chicken coq au vin, French",8/29/05,515121200,515121200,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Canola Oil,Fresh Sweet Green Bell Pepper-Med,White Onion Cooked Drained Whole-Med,Shrimp Drained-4.5oz Can,Fresh Mature Mung Bean Sprouts,Chinese Waterchestnut Slices w/Liq-Cnd,Soy Sauce-f/Soy,Whole Eggs Raw-Lrg,Canola Oil,Corn Starch,,"PREP TIME: 15 Min

COOK TIME: 15 Min

YIELDS: 4 Servings



METHOD:



STEP 1: Heat 1 tablespoon oil in a large skillet over medium heat. Saute chopped bell pepper and chopped onion until tender, then stir in chopped shrimp, bean sprouts, dained water chestnuts and 1 tablespoon soy sauce. Heat through, then remove skillet from heat and set aside.



STEP 2: Heat 1 tablespoon oil in a second skillet. In a medium bowl, beat eggs until thick and lemon colored, about 5 minutes. Stir in vegetable mixture, then pour mixture into heated skillet, forming patties about 5 inches in diameter. Fry until browned, then turn and fry on other side until browned. Drain, place on an oven-safe platter and keep warm in oven until ready to serve.



STEP 3: To Make Hot Soy Sauce: In a small bowl combine the cornstarch, water, bouillon and 2 tablespoons soy sauce and beat together. Serve wtih warm patties.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by : Arliss



",7/19/05,"Dish, shrimp, egg foo yung, Chinese",7/27/05,99629574,99629574,insert,FALSE,,2.2.0,Water,Chicken Broth-rts Can CAM-HR,Soy Sauce-f/Soy,,,,,,,,,,,

Eggplant Cubes Cooked-Drnd,Table Salt,Olive Salad/Cooking Oil,Ricotta Cheese-Part Skim,Mozzarella Cheese LoMoist WhlMilk-Shred,Parmesan Cheese-Grated,Whole Eggs Raw-Lrg,Fresh Basil-Chopped,Spaghetti/Marinara Sauce-rts,,,"PREP TIME: 25 Min

COOK TIME: 45 Min

YIELDS: 8 Servings



METHOD:



STEP 1: Cut one whole eggplant into 3/4 inch slices. Sprinkle both sides of the eggplant slices with 1 1/2 tablespoons salt. Place slices in a colander, and place a dish underneath the colander to capture liquid that will sweat out of the eggplant. Allow to sit for 30 minutes.



STEP 2: Preheat oven to 350 degrees F (175 degrees C). In a medium bowl , mix the ricotta, mozzarella cheese and 1/4 cup Parmesan cheese. Mix in the beaten egg and basil.



STEP 3: Rinse the eggplant in cold water until all salt is removed. In a large skillet, heat 4 tablespoons olive oil over medium heat. Place one layer of eggplant in the pan, brown each side. Repeat with remaining eggplant slices, using additional oil if necessary.



STEP 4: In a 9x13 inch baking dish, evenly spread 1 1/2 cups of spaghetti sauce. Arrange a single layer of eggplant slices on top of the sauce. Top the eggplant with 1/2 of the cheese mixture. Repeat layering process until all the eggplant and cheese mixture is used. Pour remaining sauce on top of layers, and sprinkle with remaining Parmesan cheese.



STEP 5: Bake 30 to 45 minutes in the preheated oven, until sauce is bubbly.



This makes a delicious entree served with a salad and garlic bread.



NOTE: As some of the 1 1/2 tabelspoons of salt is rinsed from the eggplant, only 1 tablespoon is used for the nutritional analysis.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Karen",7/19/05,"Dish, eggplant parmesan, Italian",8/29/05,74165868,74165868,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Evaporated Skim Milk-Cnd,Fresh Garlic Cloves,Enrich Spaghetti Noodles-Ckd,Skim Milk w/Add Vitamin A,Corn Starch,Low Fat Cream Cheese,Parmesan Cheese-Grated,Table Salt,Black Pepper,,,"YIELDS: 8 Servings



METHOD:



STEP 1: Combine 1 1/2 cup evaporated milk and garlic cloves in a pan, heat and simmer until garlic is soft (about 15-20 minutes). Milk will reduce a little.



STEP 2: In a blender, puree milk and garlic mixture with cream cheese until smooth.



STEP 3: Return mixture to pan and add 1/2 cup nonfat milk and cornstarch. Heat to simmer. Sauce will thicken slightly. Add 1/4 cup Parmesan cheese.



STEP 4: Bring a large pot of lightly salted water to a boil. Add fettuccini noodles and cook for 8 to 10 minutes or until al dente; drain. Toss sauce with cooked pasta. Season with salt and pepper to taste and serve with parsley sprinkled on top. Serve remaining Parmesan cheese separately.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Mary Ann",7/19/05,"Dish, fettuccini alfredo, Italian",8/29/05,824449191,824449191,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Beef Ground Hamburger 10%Fat-Pan Browned,Ground Pork-Ckd,White Onions Chopped Cooked-Drnd,Sweet Green Bell Peppers Chpd Ckd-Drnd,Steamed Carrot Slices,,,,,,,"PREP TIME: 1 Hr

COOK TIME: 10 Min

YIELDS: 6 Servings



NOTE: You can find lumpia wrappers in Asian food stores wherever they keep their frozen food.



METHOD:



STEP 1: Make sure the lumpia wrappers are completely thawed. Lay several out on a clean dry surface and cover with a damp towel. The wrapers are very thin and the edges will dry out quickly.



STEP 2: In a medium bowl, blend together the ground beef and pork, chopped onion, green pepper, and carrot. Place about 2 tablespoons of the meat mixture along the center of the wrapper. The filling should be no bigger around than your thumb or the wrapper will burn before the meat is cooked. Fold one edge of wrapper over to the other. Fold the outer edges in slightly, then continue to roll into a cylinder. Wet your finger, and moisten the edge to seal. Repeat with the remaining wrappers and filling, keeping finished lumpias covered to prevent drying. This is a good time to recruit a friend or loved one to make the job less repetitive!



STEP 3: Heat 1 quart oil in a 9 inch skillet at medium to medium high heat until oil is 365 to 375 degrees F (170 to 175 degrees C). Fry 3-4 lumpia at a time. It should only take 2-3 minutes for each side. The lumpia will be nicely browned when done. Drain on paper towels.



STEP 4: You can cut each lumpia into thirds for parties, if you like. In the Phillippines, lumpia was eaten with banana ketchup, but I've never seen it sold in America.



Editor's Note: We have determined the nutritional value of oil for frying based on a retention value of 10% after cooking. The exact amount may vary depending on cook time and temperature, ingredient density, and the specific type of oil used.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Jen Baetsle",7/19/05,"Dish, beef lumpia, Filipino",3/8/06,78597436,78597436,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Pork Spareribs-Brsd,WhiteOnion Cooked Drained Whole-Lrg,Soy Sauce-f/Soy,Black Pepper,Canola Oil,Fresh Ginger Root,Honey,Brown Sugar-Packed,Worcestershire Sauce,Fresh Lemon Juice,,"YIELDS: 10 to 12 Servings



NOTE: 12 Servings used for nutritional analysis.



METHOD:



STEP 1: Place ribs in a 5 to 6 quart stock pot with 2 of the onions cut into wedges, 4 tablespoons of the soy sauce, pepper and 6 whole star anise pods. Bring all to a boil. Reduce heat to medium low, cover and let simmer in meat juices until ribs are tender when pierced, about 1 1/4 hours. Stir occasionally.



STEP 2: Meanwhile, heat oil in a medium skillet over medium heat. Add remaining chopped onion and saute, stirring often, until onion is soft. Blend in the grated ginger, honey, sugar, and Worchestshire sauce, lemon juice and remaining 2 tablespoons of soy sauce. Cook all together, stirring, until well blended. Remove from heat.



STEP 3: Preheat oven to 400 degrees F (200 degrees C).



STEP 4: Using tongs, remove ribs from stock pot and arrange in a single layer in an 11x16 inch baking dish. Brush evenly with the honey mixture and bake in the preheated oven, basting often with pan drippings, about 30 minutes or until ribs are well glazed.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Christine Johnson",7/20/05,"Dish, pork ribs, Filipino",3/8/06,74852400,74852400,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Lamb Ground 23% Fat-Raw,White Onion Cooked Drained Whole-Med,Beef Bouillon-14.5oz rts Can,Worcestershire Sauce,Table Salt,Black Pepper,"Single Pie Crust Prep f/Rec Unbkd-9""",Egg Whites Raw-Lrg,,,,"PREP TIME 30 Min

COOK TIME: 35 Min

YIELDS: 6 Servings



METHOD: 



STEP 1: Preheat oven to 350 degrees F (175 degrees C).



STEP 2: In a large heavy skillet over medium heat, cook 12 oz of raw ground lamb until evenly brown; drain excess fat. Remove from the heat, and stir in chopped onion, beef broth and Worcestershire sauce. Season with salt and pepper to taste.



